Wall time,Step,Value
1701782915.0767243,1000,-243.57235717773438
1701782920.2017229,2000,-243.57235717773438
1701782925.1317232,3000,-243.57235717773438
1701782929.404723,4000,-243.57235717773438
1701782934.147723,5000,-243.57235717773438
1701782938.529724,6000,-243.57235717773438
1701782942.9927227,7000,-243.57235717773438
1701782947.9207242,8000,-243.57235717773438
1701782952.4977238,9000,-243.57235717773438
1701782956.6807237,10000,-243.57235717773438
1701782964.9307246,11000,-667.1361083984375
1701782968.0827227,12000,-667.1361083984375
1701782970.228454,13000,-667.1361083984375
1701782972.5154622,14000,-667.1361083984375
1701782975.1782339,15000,-667.1361083984375
1701782978.035234,16000,-667.1361083984375
1701782981.3072326,17000,-667.1361083984375
1701782983.6672344,18000,-667.1361083984375
1701782986.2492318,19000,-667.1361083984375
1701782988.7302322,20000,-667.1361083984375
1701782997.1472347,21000,-606.9349975585938
1701782999.6092339,22000,-606.9349975585938
1701783002.360231,23000,-606.9349975585938
1701783004.6822312,24000,-606.9349975585938
1701783007.081232,25000,-606.9349975585938
1701783009.5462432,26000,-606.9349975585938
1701783012.1472325,27000,-606.9349975585938
1701783014.4862344,28000,-606.9349975585938
1701783017.3722343,29000,-606.9349975585938
1701783019.7682338,30000,-606.9349975585938
1701783027.0572317,31000,-661.296142578125
1701783029.8162313,32000,-661.296142578125
1701783031.871235,33000,-661.296142578125
1701783034.3492339,34000,-661.296142578125
1701783036.6272357,35000,-661.296142578125
1701783039.092234,36000,-661.296142578125
1701783041.643234,37000,-661.296142578125
1701783043.7872314,38000,-661.296142578125
1701783046.407231,39000,-661.296142578125
1701783048.7692316,40000,-661.296142578125
1701783056.227231,41000,-691.66015625
1701783058.2352314,42000,-691.66015625
1701783060.308231,43000,-691.66015625
1701783062.6082313,44000,-691.66015625
1701783064.8472347,45000,-691.66015625
1701783067.054232,46000,-691.66015625
1701783069.7382329,47000,-691.66015625
1701783072.0302317,48000,-691.66015625
1701783074.1162345,49000,-691.66015625
1701783076.2272315,50000,-691.66015625
1701783078.7172306,51000,-691.66015625
1701783085.5822322,52000,-726.9849853515625
1701783087.5242317,53000,-726.9849853515625
1701783089.2922304,54000,-726.9849853515625
1701783091.3902318,55000,-726.9849853515625
1701783093.2528412,56000,-726.9849853515625
1701783095.108841,57000,-726.9849853515625
1701783097.1848416,58000,-726.9849853515625
1701783099.0768425,59000,-726.9849853515625
1701783100.8238413,60000,-726.9849853515625
1701783102.7002249,61000,-726.9849853515625
1701783109.6552238,62000,-738.2780151367188
1701783111.4732244,63000,-738.2780151367188
1701783113.2042234,64000,-738.2780151367188
1701783115.4652245,65000,-738.2780151367188
1701783117.7842264,66000,-738.2780151367188
1701783120.271224,67000,-738.2780151367188
1701783122.5392263,68000,-738.2780151367188
1701783124.9962256,69000,-738.2780151367188
1701783127.2532253,70000,-738.2780151367188
1701783129.6972253,71000,-738.2780151367188
1701783137.0722256,72000,-738.5742797851562
1701783139.4592273,73000,-738.5742797851562
1701783141.946226,74000,-738.5742797851562
1701783144.3082259,75000,-738.5742797851562
1701783146.763225,76000,-738.5742797851562
1701783148.890226,77000,-738.5742797851562
1701783150.8262274,78000,-738.5742797851562
1701783152.7072244,79000,-738.5742797851562
1701783154.5472252,80000,-738.5742797851562
1701783156.4652252,81000,-738.5742797851562
1701783163.7722242,82000,-726.4251708984375
1701783165.7382264,83000,-726.4251708984375
1701783167.827226,84000,-726.4251708984375
1701783169.695224,85000,-726.4251708984375
1701783171.552226,86000,-726.4251708984375
1701783173.3652272,87000,-726.4251708984375
1701783175.1742263,88000,-726.4251708984375
1701783176.9832256,89000,-726.4251708984375
1701783178.857226,90000,-726.4251708984375
1701783180.727225,91000,-726.4251708984375
1701783182.5872252,92000,-726.4251708984375
1701783190.3432248,93000,-628.1165771484375
1701783192.661226,94000,-628.1165771484375
1701783194.9982271,95000,-628.1165771484375
1701783197.262224,96000,-628.1165771484375
1701783199.753226,97000,-628.1165771484375
1701783202.0562248,98000,-628.1165771484375
1701783204.3322237,99000,-628.1165771484375
1701783206.5942266,100000,-628.1165771484375
1701783208.7132254,101000,-628.1165771484375
1701783211.071225,102000,-628.1165771484375
1701783218.951228,103000,-567.3577880859375
1701783221.297226,104000,-567.3577880859375
1701783223.7562277,105000,-567.3577880859375
1701783226.1222277,106000,-567.3577880859375
1701783228.3822238,107000,-567.3577880859375
1701783230.8462238,108000,-567.3577880859375
1701783233.4412265,109000,-567.3577880859375
1701783235.7112257,110000,-567.3577880859375
1701783238.1252253,111000,-567.3577880859375
1701783240.668225,112000,-567.3577880859375
1701783248.8272254,113000,-520.8685913085938
1701783251.4672282,114000,-520.8685913085938
1701783254.089226,115000,-520.8685913085938
1701783257.0842268,116000,-520.8685913085938
1701783259.7012277,117000,-520.8685913085938
1701783262.4422283,118000,-520.8685913085938
1701783265.3132255,119000,-520.8685913085938
1701783268.0532274,120000,-520.8685913085938
1701783271.276228,121000,-520.8685913085938
1701783273.9782276,122000,-520.8685913085938
1701783282.2662277,123000,-558.0363159179688
1701783284.8762255,124000,-558.0363159179688
1701783287.3932242,125000,-558.0363159179688
1701783289.9992256,126000,-558.0363159179688
1701783292.535226,127000,-558.0363159179688
1701783295.292226,128000,-558.0363159179688
1701783298.3112257,129000,-558.0363159179688
1701783300.8142262,130000,-558.0363159179688
1701783303.3072274,131000,-558.0363159179688
1701783305.8422263,132000,-558.0363159179688
1701783308.4492273,133000,-558.0363159179688
1701783316.2112274,134000,-566.23046875
1701783318.656224,135000,-566.23046875
1701783320.9662254,136000,-566.23046875
1701783323.5122254,137000,-566.23046875
1701783325.750226,138000,-566.23046875
1701783328.1832247,139000,-566.23046875
1701783330.6882262,140000,-566.23046875
1701783333.189225,141000,-566.23046875
1701783335.8504305,142000,-566.23046875
1701783338.50843,143000,-566.23046875
1701783345.958429,144000,-592.876953125
1701783348.1164284,145000,-592.876953125
1701783350.3344297,146000,-592.876953125
1701783352.5914292,147000,-592.876953125
1701783354.7874293,148000,-592.876953125
1701783357.1934285,149000,-592.876953125
1701783359.37243,150000,-592.876953125
1701783361.5934284,151000,-592.876953125
1701783364.978431,152000,-592.876953125
1701783368.5594292,153000,-592.876953125
1701783378.7704298,154000,-511.102294921875
1701783381.8384297,155000,-511.102294921875
1701783384.9444287,156000,-511.102294921875
1701783387.9054306,157000,-511.102294921875
1701783391.0384297,158000,-511.102294921875
1701783394.1124296,159000,-511.102294921875
1701783397.0374284,160000,-511.102294921875
1701783400.1094313,161000,-511.102294921875
1701783402.9974298,162000,-511.102294921875
1701783406.3434293,163000,-511.102294921875
1701783415.42943,164000,-536.5509643554688
1701783418.4774292,165000,-536.5509643554688
